source,target
1437173404868792324,1437041671292739584
1437173400984858625,1436757367484465157
1437173400540229633,1437138953581305863
1437173389169504258,1437057096516780035
1437173385717587969,1437160733758812162
1437173384706732033,1434908315394486275
1437173382802333699,1436974306895044608
1437173375709949952,1437110038439546891
1437173375055585284,1270368864640077826
1437173374959210503,1436825813362561024
1437173373654667273,1437000247540994058
1437173369871478785,1437146081679364099
1437173367488987136,1437073241697361922
1437173353035583493,1436171597027504129
1437173347654115334,1434092563401789442
1437173347406671877,1436995860303384580
1437173331728506880,1437049795454119937
1437173331317465092,1436701809507192832
1437173327315959811,1437022206530293764
1437173324623319040,1437167426840547333
1437173318503866373,1437057096516780035
1437173311922974723,1437164478525808642
1437173306147237890,1437073241697361922
1437173297611825154,1437072803820232708
1437173294717759488,1436883064106340355
1437173293606387722,1437149882133979145
1437173291890921476,1437000319448330243
1437173283007483906,1437072803820232708
1437173280352481282,1436171597027504129
1437173265584246786,1437170171496570882
1437173265030602755,1437027714838450179
1437173264162381824,1436749507417423876
1437173263596142592,1437149643633217537
1437173263055130627,1437172018676436996
1437173262950277128,1437072803820232708
1437173262765727750,1437129100917891072
1437173262677577734,1437137019919114244
1437173262145007616,1437072803820232708
1437173261528297472,1436995860303384580
1437173253601071104,1437069140095873029
1437173249830531073,1437156261859139592
1437173244537282568,1437075746690904064
1437173232281477123,1436841176171155457
1437173218020839425,1436457217302093824
1437173217500835845,1426791453850750980
1437173213906231303,1437146081679364099
1437173195132522502,1437147104560959489
1437173187805057024,1436961162193616899
1437173187461062656,1436988902108241921
1437173185624133633,1437072803820232708
1437173183967268865,1270368864640077826
1437173182079897604,1436483960276721666
1437173174811123712,1437072803820232708
1437173169740263424,1436308582274842629
1437173158839132162,1437072803820232708
1437173153659187201,1437171870789341187
1437173150278692867,1437049795454119937
1437173149616033799,1437000319448330243
1437173146986160131,1437162400441061386
1437173142431092738,1437111677649051649
1437173137766977536,1437110038439546891
1437173134306824198,1436995860303384580
